"path_id"	"source"	"description"	"type"	"pval"	"fdr"	"ratio"	"gene.list"	"nb.hits"	"nb.genes.path"	"nb.user.genes"	"tot.back.genes"
"ko00601"	"KEGG"	"Glycosphingolipid biosynthesis - lacto and neolacto series"	"pathway"	1	1	0	NA	0	27	0	19688
"ko00604"	"KEGG"	"Glycosphingolipid biosynthesis - ganglio series"	"pathway"	1	1	0	NA	0	15	0	19688
"ko00620"	"KEGG"	"Pyruvate metabolism"	"pathway"	1	1	0	NA	0	39	0	19688
"ko00630"	"KEGG"	"Glyoxylate and dicarboxylate metabolism"	"pathway"	1	1	0	NA	0	28	0	19688
"ko00640"	"KEGG"	"Propanoate metabolism"	"pathway"	1	1	0	NA	0	32	0	19688
"ko00650"	"KEGG"	"Butanoate metabolism"	"pathway"	1	1	0	NA	0	28	0	19688
"ko00670"	"KEGG"	"One carbon pool by folate"	"pathway"	1	1	0	NA	0	20	0	19688
"ko00730"	"KEGG"	"Thiamine metabolism"	"pathway"	1	1	0	NA	0	16	0	19688
"ko00740"	"KEGG"	"Riboflavin metabolism"	"pathway"	1	1	0	NA	0	8	0	19688
"ko00750"	"KEGG"	"Vitamin B6 metabolism"	"pathway"	1	1	0	NA	0	6	0	19688
"ko00760"	"KEGG"	"Nicotinate and nicotinamide metabolism"	"pathway"	1	1	0	NA	0	29	0	19688
"ko00770"	"KEGG"	"Pantothenate and CoA biosynthesis"	"pathway"	1	1	0	NA	0	18	0	19688
"ko00780"	"KEGG"	"Biotin metabolism"	"pathway"	1	1	0	NA	0	3	0	19688
"ko00785"	"KEGG"	"Lipoic acid metabolism"	"pathway"	1	1	0	NA	0	3	0	19688
"ko00790"	"KEGG"	"Folate biosynthesis"	"pathway"	1	1	0	NA	0	15	0	19688
"ko00830"	"KEGG"	"Retinol metabolism"	"pathway"	1	1	0	NA	0	65	0	19688
"ko00860"	"KEGG"	"Porphyrin and chlorophyll metabolism"	"pathway"	1	1	0	NA	0	42	0	19688
"ko00900"	"KEGG"	"Terpenoid backbone biosynthesis"	"pathway"	1	1	0	NA	0	22	0	19688
"ko00910"	"KEGG"	"Nitrogen metabolism"	"pathway"	1	1	0	NA	0	17	0	19688
"ko00920"	"KEGG"	"Sulfur metabolism"	"pathway"	1	1	0	NA	0	10	0	19688
"ko00970"	"KEGG"	"Aminoacyl-tRNA biosynthesis"	"pathway"	1	1	0	NA	0	66	0	19688
"ko00980"	"KEGG"	"Metabolism of xenobiotics by cytochrome P450"	"pathway"	1	1	0	NA	0	74	0	19688
"ko00982"	"KEGG"	"Drug metabolism - cytochrome P450"	"pathway"	1	1	0	NA	0	70	0	19688
"ko00983"	"KEGG"	"Drug metabolism - other enzymes"	"pathway"	1	1	0	NA	0	46	0	19688
"ko01040"	"KEGG"	"Biosynthesis of unsaturated fatty acids"	"pathway"	1	1	0	NA	0	23	0	19688
"ko02010"	"KEGG"	"ABC transporters"	"pathway"	1	1	0	NA	0	45	0	19688
"ko03010"	"KEGG"	"Ribosome"	"pathway"	1	1	0	NA	0	154	0	19688
"ko03020"	"KEGG"	"RNA polymerase"	"pathway"	1	1	0	NA	0	32	0	19688
"ko03022"	"KEGG"	"Basal transcription factors"	"pathway"	1	1	0	NA	0	45	0	19688
"ko03030"	"KEGG"	"DNA replication"	"pathway"	1	1	0	NA	0	36	0	19688
"ko03050"	"KEGG"	"Proteasome"	"pathway"	1	1	0	NA	0	45	0	19688
"ko03060"	"KEGG"	"Protein export"	"pathway"	1	1	0	NA	0	23	0	19688
"ko03320"	"KEGG"	"PPAR signaling pathway"	"pathway"	1	1	0	NA	0	72	0	19688
"ko03410"	"KEGG"	"Base excision repair"	"pathway"	1	1	0	NA	0	33	0	19688
"ko03420"	"KEGG"	"Nucleotide excision repair"	"pathway"	1	1	0	NA	0	47	0	19688
"ko03430"	"KEGG"	"Mismatch repair"	"pathway"	1	1	0	NA	0	23	0	19688
"ko03440"	"KEGG"	"Homologous recombination"	"pathway"	1	1	0	NA	0	41	0	19688
"ko03450"	"KEGG"	"Non-homologous end-joining"	"pathway"	1	1	0	NA	0	13	0	19688
"ko04010"	"KEGG"	"MAPK signaling pathway"	"pathway"	1	1	0	NA	0	255	0	19688
"ko04012"	"KEGG"	"ErbB signaling pathway"	"pathway"	1	1	0	NA	0	86	0	19688
"ko04020"	"KEGG"	"Calcium signaling pathway"	"pathway"	1	1	0	NA	0	182	0	19688
"ko04060"	"KEGG"	"Cytokine-cytokine receptor interaction"	"pathway"	1	1	0	NA	0	270	0	19688
"ko04070"	"KEGG"	"Phosphatidylinositol signaling system"	"pathway"	1	1	0	NA	0	97	0	19688
"ko04080"	"KEGG"	"Neuroactive ligand-receptor interaction"	"pathway"	1	1	0	NA	0	278	0	19688
"ko04110"	"KEGG"	"Cell cycle"	"pathway"	1	1	0	NA	0	124	0	19688
"ko04115"	"KEGG"	"p53 signaling pathway"	"pathway"	1	1	0	NA	0	69	0	19688
"ko04120"	"KEGG"	"Ubiquitin mediated proteolysis"	"pathway"	1	1	0	NA	0	137	0	19688
"ko04130"	"KEGG"	"SNARE interactions in vesicular transport"	"pathway"	1	1	0	NA	0	34	0	19688
"ko04140"	"KEGG"	"Autophagy - animal"	"pathway"	1	1	0	NA	0	128	0	19688
"ko04150"	"KEGG"	"mTOR signaling pathway"	"pathway"	1	1	0	NA	0	151	0	19688
"ko04210"	"KEGG"	"Apoptosis"	"pathway"	1	1	0	NA	0	138	0	19688
"ko04310"	"KEGG"	"Wnt signaling pathway"	"pathway"	1	1	0	NA	0	143	0	19688
"ko04320"	"KEGG"	"Dorso-ventral axis formation"	"pathway"	1	1	0	NA	0	28	0	19688
"ko04330"	"KEGG"	"Notch signaling pathway"	"pathway"	1	1	0	NA	0	48	0	19688
"ko04340"	"KEGG"	"Hedgehog signaling pathway"	"pathway"	1	1	0	NA	0	47	0	19688
"ko04350"	"KEGG"	"TGF-beta signaling pathway"	"pathway"	1	1	0	NA	0	84	0	19688
"ko04360"	"KEGG"	"Axon guidance"	"pathway"	1	1	0	NA	0	175	0	19688
"ko04370"	"KEGG"	"VEGF signaling pathway"	"pathway"	1	1	0	NA	0	59	0	19688
"ko04510"	"KEGG"	"Focal adhesion"	"pathway"	1	1	0	NA	0	199	0	19688
"ko04512"	"KEGG"	"ECM-receptor interaction"	"pathway"	1	1	0	NA	0	82	0	19688
"ko04514"	"KEGG"	"Cell adhesion molecules (CAMs)"	"pathway"	1	1	0	NA	0	145	0	19688
"ko04520"	"KEGG"	"Adherens junction"	"pathway"	1	1	0	NA	0	72	0	19688
"ko04530"	"KEGG"	"Tight junction"	"pathway"	1	1	0	NA	0	170	0	19688
"ko04540"	"KEGG"	"Gap junction"	"pathway"	1	1	0	NA	0	88	0	19688
"ko04610"	"KEGG"	"Complement and coagulation cascades"	"pathway"	1	1	0	NA	0	79	0	19688
"ko04612"	"KEGG"	"Antigen processing and presentation"	"pathway"	1	1	0	NA	0	77	0	19688
"ko04614"	"KEGG"	"Renin-angiotensin system"	"pathway"	1	1	0	NA	0	23	0	19688
"ko04620"	"KEGG"	"Toll-like receptor signaling pathway"	"pathway"	1	1	0	NA	0	104	0	19688
"ko04630"	"KEGG"	"Jak-STAT signaling pathway"	"pathway"	1	1	0	NA	0	156	0	19688
"ko04640"	"KEGG"	"Hematopoietic cell lineage"	"pathway"	1	1	0	NA	0	97	0	19688
"ko04650"	"KEGG"	"Natural killer cell mediated cytotoxicity"	"pathway"	1	1	0	NA	0	133	0	19688
"ko04660"	"KEGG"	"T cell receptor signaling pathway"	"pathway"	1	1	0	NA	0	103	0	19688
"ko04662"	"KEGG"	"B cell receptor signaling pathway"	"pathway"	1	1	0	NA	0	71	0	19688
"ko04664"	"KEGG"	"Fc epsilon RI signaling pathway"	"pathway"	1	1	0	NA	0	68	0	19688
"ko04670"	"KEGG"	"Leukocyte transendothelial migration"	"pathway"	1	1	0	NA	0	114	0	19688
"ko04710"	"KEGG"	"Circadian rhythm"	"pathway"	1	1	0	NA	0	31	0	19688
"ko04720"	"KEGG"	"Long-term potentiation"	"pathway"	1	1	0	NA	0	67	0	19688
"ko04730"	"KEGG"	"Long-term depression"	"pathway"	1	1	0	NA	0	60	0	19688
"ko04740"	"KEGG"	"Olfactory transduction"	"pathway"	1	1	0	NA	0	419	0	19688
"ko04742"	"KEGG"	"Taste transduction"	"pathway"	1	1	0	NA	0	83	0	19688
"ko04810"	"KEGG"	"Regulation of actin cytoskeleton"	"pathway"	1	1	0	NA	0	212	0	19688
"ko04910"	"KEGG"	"Insulin signaling pathway"	"pathway"	1	1	0	NA	0	138	0	19688
"ko04912"	"KEGG"	"GnRH signaling pathway"	"pathway"	1	1	0	NA	0	92	0	19688
"ko04914"	"KEGG"	"Progesterone-mediated oocyte maturation"	"pathway"	1	1	0	NA	0	96	0	19688
"ko04916"	"KEGG"	"Melanogenesis"	"pathway"	1	1	0	NA	0	101	0	19688
"ko04920"	"KEGG"	"Adipocytokine signaling pathway"	"pathway"	1	1	0	NA	0	69	0	19688
"ko04930"	"KEGG"	"Type II diabetes mellitus"	"pathway"	1	1	0	NA	0	46	0	19688
"ko04940"	"KEGG"	"Type I diabetes mellitus"	"pathway"	1	1	0	NA	0	43	0	19688
"ko04950"	"KEGG"	"Maturity onset diabetes of the young"	"pathway"	1	1	0	NA	0	26	0	19688
"ko05010"	"KEGG"	"Alzheimer's disease"	"pathway"	1	1	0	NA	0	171	0	19688
"ko05014"	"KEGG"	"Amyotrophic lateral sclerosis (ALS)"	"pathway"	1	1	0	NA	0	51	0	19688
"ko05016"	"KEGG"	"Huntington's disease"	"pathway"	1	1	0	NA	0	193	0	19688
"ko05110"	"KEGG"	"Vibrio cholerae infection"	"pathway"	1	1	0	NA	0	51	0	19688
"ko05120"	"KEGG"	"Epithelial cell signaling in Helicobacter pylori infection"	"pathway"	1	1	0	NA	0	68	0	19688
"ko05130"	"KEGG"	"Pathogenic Escherichia coli infection"	"pathway"	1	1	0	NA	0	55	0	19688
"ko05210"	"KEGG"	"Colorectal cancer"	"pathway"	1	1	0	NA	0	60	0	19688
"ko05211"	"KEGG"	"Renal cell carcinoma"	"pathway"	1	1	0	NA	0	65	0	19688
"ko05212"	"KEGG"	"Pancreatic cancer"	"pathway"	1	1	0	NA	0	64	0	19688
"ko05213"	"KEGG"	"Endometrial cancer"	"pathway"	1	1	0	NA	0	50	0	19688
"ko05214"	"KEGG"	"Glioma"	"pathway"	1	1	0	NA	0	64	0	19688
"ko05215"	"KEGG"	"Prostate cancer"	"pathway"	1	1	0	NA	0	87	0	19688
"ko05216"	"KEGG"	"Thyroid cancer"	"pathway"	1	1	0	NA	0	29	0	19688
"ko05217"	"KEGG"	"Basal cell carcinoma"	"pathway"	1	1	0	NA	0	55	0	19688
"ko05218"	"KEGG"	"Melanoma"	"pathway"	1	1	0	NA	0	69	0	19688
"ko05219"	"KEGG"	"Bladder cancer"	"pathway"	1	1	0	NA	0	41	0	19688
"ko05220"	"KEGG"	"Chronic myeloid leukemia"	"pathway"	1	1	0	NA	0	71	0	19688
"ko05221"	"KEGG"	"Acute myeloid leukemia"	"pathway"	1	1	0	NA	0	55	0	19688
"ko05222"	"KEGG"	"Small cell lung cancer"	"pathway"	1	1	0	NA	0	84	0	19688
"ko05223"	"KEGG"	"Non-small cell lung cancer"	"pathway"	1	1	0	NA	0	58	0	19688
"ko05310"	"KEGG"	"Asthma"	"pathway"	1	1	0	NA	0	31	0	19688
"ko05320"	"KEGG"	"Autoimmune thyroid disease"	"pathway"	1	1	0	NA	0	53	0	19688
"ko05322"	"KEGG"	"Systemic lupus erythematosus"	"pathway"	1	1	0	NA	0	133	0	19688
"ko05330"	"KEGG"	"Allograft rejection"	"pathway"	1	1	0	NA	0	38	0	19688
"ko05332"	"KEGG"	"Graft-versus-host disease"	"pathway"	1	1	0	NA	0	41	0	19688
"ko05340"	"KEGG"	"Primary immunodeficiency"	"pathway"	1	1	0	NA	0	37	0	19688
"hsa00010"	"KEGG"	"Glycolysis / Gluconeogenesis"	"pathway"	1	1	0	NA	0	67	0	19688
"hsa00020"	"KEGG"	"Citrate cycle (TCA cycle)"	"pathway"	1	1	0	NA	0	30	0	19688
"hsa00030"	"KEGG"	"Pentose phosphate pathway"	"pathway"	1	1	0	NA	0	30	0	19688
"hsa00040"	"KEGG"	"Pentose and glucuronate interconversions"	"pathway"	1	1	0	NA	0	34	0	19688
"hsa00051"	"KEGG"	"Fructose and mannose metabolism"	"pathway"	1	1	0	NA	0	33	0	19688
"hsa00052"	"KEGG"	"Galactose metabolism"	"pathway"	1	1	0	NA	0	31	0	19688
"hsa00053"	"KEGG"	"Ascorbate and aldarate metabolism"	"pathway"	1	1	0	NA	0	27	0	19688
"hsa00061"	"KEGG"	"Fatty acid biosynthesis"	"pathway"	1	1	0	NA	0	13	0	19688
"hsa00062"	"KEGG"	"Fatty acid elongation"	"pathway"	1	1	0	NA	0	25	0	19688
"hsa00071"	"KEGG"	"Fatty acid degradation"	"pathway"	1	1	0	NA	0	44	0	19688
"hsa00072"	"KEGG"	"Synthesis and degradation of ketone bodies"	"pathway"	1	1	0	NA	0	10	0	19688
"hsa00100"	"KEGG"	"Steroid biosynthesis"	"pathway"	1	1	0	NA	0	20	0	19688
"hsa00120"	"KEGG"	"Primary bile acid biosynthesis"	"pathway"	1	1	0	NA	0	17	0	19688
"hsa00130"	"KEGG"	"Ubiquinone and other terpenoid-quinone biosynthesis"	"pathway"	1	1	0	NA	0	11	0	19688
"hsa00140"	"KEGG"	"Steroid hormone biosynthesis"	"pathway"	1	1	0	NA	0	58	0	19688
"hsa00190"	"KEGG"	"Oxidative phosphorylation"	"pathway"	1	1	0	NA	0	133	0	19688
"hsa00220"	"KEGG"	"Arginine biosynthesis"	"pathway"	1	1	0	NA	0	21	0	19688
"hsa00230"	"KEGG"	"Purine metabolism"	"pathway"	1	1	0	NA	0	175	0	19688
"hsa00232"	"KEGG"	"Caffeine metabolism"	"pathway"	1	1	0	NA	0	5	0	19688
"hsa00240"	"KEGG"	"Pyrimidine metabolism"	"pathway"	1	1	0	NA	0	105	0	19688
"hsa00260"	"KEGG"	"Glycine, serine and threonine metabolism"	"pathway"	1	1	0	NA	0	40	0	19688
"hsa00280"	"KEGG"	"Valine, leucine and isoleucine degradation"	"pathway"	1	1	0	NA	0	48	0	19688
"hsa00290"	"KEGG"	"Valine, leucine and isoleucine biosynthesis"	"pathway"	1	1	0	NA	0	4	0	19688
"hsa00310"	"KEGG"	"Lysine degradation"	"pathway"	1	1	0	NA	0	59	0	19688
"hsa00330"	"KEGG"	"Arginine and proline metabolism"	"pathway"	1	1	0	NA	0	50	0	19688
"hsa00340"	"KEGG"	"Histidine metabolism"	"pathway"	1	1	0	NA	0	24	0	19688
"hsa00350"	"KEGG"	"Tyrosine metabolism"	"pathway"	1	1	0	NA	0	35	0	19688
"hsa00360"	"KEGG"	"Phenylalanine metabolism"	"pathway"	1	1	0	NA	0	17	0	19688
"hsa00380"	"KEGG"	"Tryptophan metabolism"	"pathway"	1	1	0	NA	0	40	0	19688
"hsa00400"	"KEGG"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"pathway"	1	1	0	NA	0	5	0	19688
"hsa00410"	"KEGG"	"beta-Alanine metabolism"	"pathway"	1	1	0	NA	0	31	0	19688
"hsa00430"	"KEGG"	"Taurine and hypotaurine metabolism"	"pathway"	1	1	0	NA	0	11	0	19688
"hsa00440"	"KEGG"	"Phosphonate and phosphinate metabolism"	"pathway"	1	1	0	NA	0	6	0	19688
"hsa00450"	"KEGG"	"Selenocompound metabolism"	"pathway"	1	1	0	NA	0	17	0	19688
"hsa00471"	"KEGG"	"D-Glutamine and D-glutamate metabolism"	"pathway"	1	1	0	NA	0	4	0	19688
"hsa00480"	"KEGG"	"Glutathione metabolism"	"pathway"	1	1	0	NA	0	54	0	19688
"hsa00500"	"KEGG"	"Starch and sucrose metabolism"	"pathway"	1	1	0	NA	0	36	0	19688
"hsa00510"	"KEGG"	"N-Glycan biosynthesis"	"pathway"	1	1	0	NA	0	49	0	19688
"hsa00511"	"KEGG"	"Other glycan degradation"	"pathway"	1	1	0	NA	0	18	0	19688
"hsa00512"	"KEGG"	"Mucin type O-glycan biosynthesis"	"pathway"	1	1	0	NA	0	31	0	19688
"hsa00514"	"KEGG"	"Other types of O-glycan biosynthesis"	"pathway"	1	1	0	NA	0	22	0	19688
"hsa00520"	"KEGG"	"Amino sugar and nucleotide sugar metabolism"	"pathway"	1	1	0	NA	0	48	0	19688
"hsa00531"	"KEGG"	"Glycosaminoglycan degradation"	"pathway"	1	1	0	NA	0	19	0	19688
"hsa00532"	"KEGG"	"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"pathway"	1	1	0	NA	0	20	0	19688
"hsa00533"	"KEGG"	"Glycosaminoglycan biosynthesis - keratan sulfate"	"pathway"	1	1	0	NA	0	14	0	19688
"hsa00534"	"KEGG"	"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"pathway"	1	1	0	NA	0	24	0	19688
"hsa00561"	"KEGG"	"Glycerolipid metabolism"	"pathway"	1	1	0	NA	0	59	0	19688
"hsa00562"	"KEGG"	"Inositol phosphate metabolism"	"pathway"	1	1	0	NA	0	71	0	19688
"hsa00563"	"KEGG"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"pathway"	1	1	0	NA	0	25	0	19688
"hsa00564"	"KEGG"	"Glycerophospholipid metabolism"	"pathway"	1	1	0	NA	0	95	0	19688
"hsa00565"	"KEGG"	"Ether lipid metabolism"	"pathway"	1	1	0	NA	0	45	0	19688
"hsa00590"	"KEGG"	"Arachidonic acid metabolism"	"pathway"	1	1	0	NA	0	62	0	19688
"hsa00591"	"KEGG"	"Linoleic acid metabolism"	"pathway"	1	1	0	NA	0	29	0	19688
"hsa00592"	"KEGG"	"alpha-Linolenic acid metabolism"	"pathway"	1	1	0	NA	0	25	0	19688
"hsa00600"	"KEGG"	"Sphingolipid metabolism"	"pathway"	1	1	0	NA	0	47	0	19688
"hsa00601"	"KEGG"	"Glycosphingolipid biosynthesis - lacto and neolacto series"	"pathway"	1	1	0	NA	0	27	0	19688
"hsa00603"	"KEGG"	"Glycosphingolipid biosynthesis - globo and isoglobo series"	"pathway"	1	1	0	NA	0	15	0	19688
"hsa00604"	"KEGG"	"Glycosphingolipid biosynthesis - ganglio series"	"pathway"	1	1	0	NA	0	15	0	19688
"hsa00620"	"KEGG"	"Pyruvate metabolism"	"pathway"	1	1	0	NA	0	39	0	19688
"hsa00630"	"KEGG"	"Glyoxylate and dicarboxylate metabolism"	"pathway"	1	1	0	NA	0	28	0	19688
"hsa00640"	"KEGG"	"Propanoate metabolism"	"pathway"	1	1	0	NA	0	32	0	19688
"hsa00650"	"KEGG"	"Butanoate metabolism"	"pathway"	1	1	0	NA	0	28	0	19688
"hsa00670"	"KEGG"	"One carbon pool by folate"	"pathway"	1	1	0	NA	0	20	0	19688
"hsa00730"	"KEGG"	"Thiamine metabolism"	"pathway"	1	1	0	NA	0	16	0	19688
"hsa00740"	"KEGG"	"Riboflavin metabolism"	"pathway"	1	1	0	NA	0	8	0	19688
"hsa00750"	"KEGG"	"Vitamin B6 metabolism"	"pathway"	1	1	0	NA	0	6	0	19688
"hsa00760"	"KEGG"	"Nicotinate and nicotinamide metabolism"	"pathway"	1	1	0	NA	0	29	0	19688
"hsa00770"	"KEGG"	"Pantothenate and CoA biosynthesis"	"pathway"	1	1	0	NA	0	18	0	19688
"hsa00780"	"KEGG"	"Biotin metabolism"	"pathway"	1	1	0	NA	0	3	0	19688
"hsa00785"	"KEGG"	"Lipoic acid metabolism"	"pathway"	1	1	0	NA	0	3	0	19688
"hsa00790"	"KEGG"	"Folate biosynthesis"	"pathway"	1	1	0	NA	0	15	0	19688
"hsa00830"	"KEGG"	"Retinol metabolism"	"pathway"	1	1	0	NA	0	65	0	19688
"hsa00860"	"KEGG"	"Porphyrin and chlorophyll metabolism"	"pathway"	1	1	0	NA	0	42	0	19688
"hsa00900"	"KEGG"	"Terpenoid backbone biosynthesis"	"pathway"	1	1	0	NA	0	22	0	19688
"hsa00910"	"KEGG"	"Nitrogen metabolism"	"pathway"	1	1	0	NA	0	17	0	19688
"hsa00920"	"KEGG"	"Sulfur metabolism"	"pathway"	1	1	0	NA	0	10	0	19688
"hsa00970"	"KEGG"	"Aminoacyl-tRNA biosynthesis"	"pathway"	1	1	0	NA	0	66	0	19688
"hsa00980"	"KEGG"	"Metabolism of xenobiotics by cytochrome P450"	"pathway"	1	1	0	NA	0	74	0	19688
"hsa00982"	"KEGG"	"Drug metabolism - cytochrome P450"	"pathway"	1	1	0	NA	0	70	0	19688
"hsa00983"	"KEGG"	"Drug metabolism - other enzymes"	"pathway"	1	1	0	NA	0	46	0	19688
"hsa01040"	"KEGG"	"Biosynthesis of unsaturated fatty acids"	"pathway"	1	1	0	NA	0	23	0	19688
"hsa02010"	"KEGG"	"ABC transporters"	"pathway"	1	1	0	NA	0	45	0	19688
"hsa03010"	"KEGG"	"Ribosome"	"pathway"	1	1	0	NA	0	154	0	19688
"hsa03020"	"KEGG"	"RNA polymerase"	"pathway"	1	1	0	NA	0	32	0	19688
"hsa03022"	"KEGG"	"Basal transcription factors"	"pathway"	1	1	0	NA	0	45	0	19688
"hsa03030"	"KEGG"	"DNA replication"	"pathway"	1	1	0	NA	0	36	0	19688
"hsa03050"	"KEGG"	"Proteasome"	"pathway"	1	1	0	NA	0	45	0	19688
"hsa03060"	"KEGG"	"Protein export"	"pathway"	1	1	0	NA	0	23	0	19688
"hsa03320"	"KEGG"	"PPAR signaling pathway"	"pathway"	1	1	0	NA	0	72	0	19688
